label,z,x,y,area,mean_intensity_0,mean_intensity_1,mean_intensity_2,mean_intensity_3,cell_type,color,legend
2,11.0,2.0,66.0,760.0,600.9671052631579,60.86052631578947,68.80263157894737,95.85263157894735,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
3,10.0,2.0,104.0,1167.0,602.9211653813196,25.29477292202228,29.167095115681235,121.56298200514141,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
4,7.0,1.0,172.0,588.0,567.0969387755102,30.886054421768712,28.215986394557824,86.30782312925173,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
5,1.0,1.0,235.0,190.0,946.2473684210527,20.05263157894737,157.18947368421053,241.56315789473686,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
6,3.0,3.0,301.0,971.0,1089.5386199794027,33.22142121524202,98.53038105046343,258.0339855818744,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
7,8.0,5.0,330.0,3087.0,503.30741820537736,31.963394881762234,66.7246517654681,106.12439261418854,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
8,2.0,0.0,483.0,86.0,977.7906976744188,39.87209302325581,86.74418604651163,351.62790697674416,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
9,7.0,7.0,498.0,2150.0,1491.6739534883718,55.640930232558134,96.98697674418604,300.9558139534884,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
10,9.0,2.0,596.0,1645.0,1362.9562310030396,45.55623100303952,38.95744680851064,327.1003039513678,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
11,3.0,9.0,635.0,1830.0,838.5278688524588,153.29781420765028,141.04590163934432,181.02786885245902,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
12,5.0,1.0,719.0,462.0,574.6233766233768,45.9069264069264,42.27922077922078,142.50649350649348,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
13,5.0,4.0,763.0,1138.0,1089.3866432337434,45.64586994727593,47.45079086115992,319.1274165202109,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
14,3.0,2.0,831.0,661.0,1150.6096822995462,38.04236006051437,114.37518910741301,354.0514372163388,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
15,6.0,3.0,851.0,1231.0,1029.5117790414297,38.690495532087716,61.291632818846466,283.1121039805037,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
16,7.0,6.0,886.0,2840.0,953.112676056338,42.47077464788733,59.80281690140846,342.1665492957746,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
17,1.0,3.0,903.0,498.0,861.9538152610443,34.937751004016064,59.49799196787149,238.1004016064257,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
18,7.0,2.0,920.0,1578.0,937.3903675538656,34.8574144486692,34.87515842839037,255.55259822560203,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
19,4.0,2.0,942.0,580.0,944.6362068965517,37.00517241379311,143.64655172413794,231.2137931034483,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
20,2.0,2.0,972.0,488.0,765.8729508196723,274.5266393442623,327.327868852459,208.89139344262298,3,"(0.984313725490196, 0.5019607843137255, 0.4470588235294118, 1.0)",3
21,11.0,5.0,997.0,4153.0,698.0296171442329,132.5475559836263,79.79797736575969,151.49482301950397,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
22,1.0,9.0,137.0,487.0,376.5154004106777,26.59958932238193,28.250513347022586,83.5482546201232,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
24,4.0,10.0,803.0,1974.0,625.9837892603849,46.96656534954408,39.47771023302938,134.3485309017224,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
26,0.0,10.0,868.0,173.0,840.9595375722544,35.236994219653184,30.95375722543353,346.34104046242777,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
27,1.0,11.0,616.0,317.0,1243.1640378548896,52.08201892744479,42.406940063091476,230.1608832807571,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
28,9.0,13.0,778.0,5878.0,817.779006464784,43.701429057502544,43.33429738006125,192.16195985028918,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
29,1.0,14.0,293.0,392.0,993.890306122449,186.13520408163262,105.92346938775508,292.57397959183675,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
30,0.0,13.0,738.0,176.0,1162.0511363636365,36.80113636363637,127.23295454545456,282.40909090909093,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
31,3.0,13.0,837.0,783.0,1310.8799489144315,59.53001277139208,140.18263090676885,407.4048531289911,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
32,6.0,18.0,36.0,2853.0,320.9649491763056,16.826498422712937,23.04030844724851,85.82825096389764,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
